Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
634,Brandon Vazquez\c570cf22,us USA,FW,FC Cincinnati,21,1998,8.7,12.3,20.1,61.1,212.9,24.7,6.32,8.97,70.5,4.48,7.59,59.1,1.26,2.18,57.9,0.23,0.09,0.14,0.57,0.46,0.11,0,0.57,Matches
635,Carlos Vela\e0cd04e0,mx MEX,FW,Los Angeles FC,30,1989,4.7,32.6,47.2,68.9,643.4,211.5,12.6,15.5,80.8,15.3,19.1,80,4.47,10.2,43.8,0.21,0.34,-0.13,2.77,3.19,2.98,0.43,7.23,Matches
636,Matías Vera\fe529f25,ar ARG,MF,Houston Dynamo,24,1995,18.8,49,53.5,91.7,1069,227.6,14.1,15.4,91.7,24,25.1,95.8,9.84,11.3,86.9,0,0.03,-0.03,0.74,4.26,0.16,0.05,3.14,Matches
637,Kenneth Vermeer\22a94b80,nl NED,GK,Los Angeles FC,34,1986,8,17.8,22.5,78.9,494.4,329.5,4.88,4.88,100,6.75,6.88,98.2,5.75,10.4,55.4,0,0,0,0,0.38,0.13,0,0.25,Matches
638,Ranko Veselinović\366609b6,rs SRB,DF,Vancouver,20,1999,15.4,35.6,41.4,85.9,849.9,267.7,6.88,7.53,91.4,20.5,22.1,92.7,8.12,11.5,70.6,0,0.01,-0.01,0.19,1.82,0.26,0.06,1.56,Matches
639,Jorge Villafaña\32337fb2,us USA,DF,Portland Timbers,30,1989,17.2,39,51,76.4,670.4,284.4,19.2,20.9,92.2,15.6,20.1,77.5,3.55,6.98,50.8,0.29,0.1,0.19,0.58,3.14,1.16,0.52,3.6,Matches
640,Sam Vines\2d6e535f,us USA,DF,Colorado Rapids,20,1999,18,41.1,49.3,83.3,708.4,245.7,19.4,21.8,88.8,18.1,20.7,87.1,3.06,5.61,54.5,0.17,0.09,0.08,0.67,2.72,0.5,0.17,2.56,Matches
641,Kai Wagner\fdc715d9,de GER,DF,Philadelphia,22,1997,13.1,38.3,51.1,74.9,792.2,280.4,13.7,16.3,84.5,18.3,22.5,81.4,5.95,11.1,53.8,0.15,0.09,0.06,0.84,3.51,1.07,0.31,4.35,Matches
642,Anton Walkes\8a062bba,eng ENG,DF,Atlanta Utd,22,1997,14.8,59.7,67.2,88.7,1329.8,395.9,14.9,16.1,92.1,32.3,34.6,93.4,11.8,15.5,76.4,0,0,0,0.07,4.39,0.07,0,2.23,Matches
643,Victor Wanyama\e0900238,ke KEN,MF,Montreal Impact,28,1991,21,46.1,53.9,85.7,948.5,237.5,15.3,17,89.7,23.8,25.7,92.6,6.71,9.52,70.5,0.05,0.01,0.03,0.52,4.81,0.38,0.05,3.95,Matches
644,Collen Warner\75babbce,us USA,MF,Colorado Rapids,31,1988,2.9,43.1,48.6,88.7,885.9,189.3,15.2,16.2,93.6,20,22.1,90.6,7.59,9.66,78.6,0,0,0,0.69,4.83,0,0,3.1,Matches
645,Taylor Washington\480d3bcc,us USA,DFFW,Nashville,26,1993,4.5,31.3,42.7,73.4,622.2,229.1,14.2,16.4,86.5,10.9,14,77.8,5.78,10.2,56.5,0.22,0.22,0,2,2.89,1.33,1.33,2.67,Matches
646,Kendall Waston\02ea59b0,cr CRC,DF,FC Cincinnati,32,1988,17,46.7,54.6,85.6,1055.6,332.8,11.6,12.9,90,25.5,28.2,90.4,9.47,13,72.9,0,0,0,0.06,1.76,0,0,2.06,Matches
647,Joel Waterman\47ddcc22,ca CAN,DF,Montreal Impact,24,1996,6.1,45.4,52.5,86.6,1032.1,290.2,9.67,11.1,86.8,26.2,28,93.6,9.18,12.5,73.7,0.16,0.03,0.13,0.49,2.79,0.16,0,2.95,Matches
648,Quentin Westberg\5480ae05,us USA,GK,Toronto FC,33,1986,20,29.4,37.5,78.2,831.6,491.4,5.65,5.7,99.1,13.1,13.3,98.5,10.7,18.6,57.3,0,0.01,-0.01,0.1,0.25,0,0,0,Matches
649,Brian White\54c948de,us USA,FW,NY Red Bulls,23,1996,9.7,13.4,22.2,60.5,174.5,28.6,8.45,13,65.1,3.81,5.88,64.9,0.41,1.13,36.4,0.1,0.07,0.03,1.03,0.52,0,0,0.72,Matches
650,Gordon Wild\9ca33c53,de GER,MFFW,LA Galaxy,24,1995,0.4,17.5,27.5,63.6,227.5,55,12.5,12.5,100,5,7.5,66.7,0,5,0,2.5,1,1.5,2.5,0,0,0,0,Matches
651,JJ Williams\d04dba18,us USA,FW,Atlanta Utd,22,1998,0.1,0,10,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
652,Josh Williams\06098bfc,us USA,DF,Columbus Crew,31,1988,11.4,48,53.2,90.1,1048.2,326.1,12.2,14,86.9,26.5,27.6,95.9,9.04,11.1,81.7,0,0,0,0,4.39,0.18,0,2.37,Matches
653,Eryk Williamson\e0364352,us USA,MF,Portland Timbers,22,1997,15.7,35.7,42.2,84.7,653.1,190.2,15.5,17.5,88.4,15.3,17.3,88.6,4.14,5.54,74.7,0.25,0.1,0.15,0.76,4.14,0.96,0,4.71,Matches
654,Joe Willis\467f09c8,us USA,GK,Nashville,31,1988,23,17.9,28.3,63.3,584.3,370.3,2.52,2.52,100,7.65,7.7,99.4,7.74,18,42.9,0,0.01,-0.01,0.09,0.26,0,0,0,Matches
655,Danny Wilson\9cfe9254,sct SCO,DF,Colorado Rapids,28,1991,8.2,47.7,61.6,77.4,1285.9,544.9,8.54,10.9,78.7,23,25.1,91.7,15.6,24.5,63.7,0,0.01,-0.01,0.49,4.39,0.12,0,4.02,Matches
656,Alan Winn\f4267fae,us USA,FW,Nashville,23,1996,2.7,33.3,43,77.6,556.3,134.8,17.8,21.9,81.4,12.2,13.7,89.2,2.59,4.44,58.3,0,0,0,0,2.22,0.37,0,4.44,Matches
657,Tyler Wolff\0985c282,us USA,MFFW,Atlanta Utd,16,2003,1.3,30.8,36.9,83.3,510,76.2,13.8,16.2,85.7,15.4,17.7,87,1.54,2.31,66.7,0,0,0,0,0.77,0,0,0.77,Matches
658,Chris Wondolowski\37f46eda,us USA,FWMF,San Jose,37,1983,14.2,17.7,22.2,79.7,328.1,57,8.03,9.72,82.6,5.77,6.83,84.5,3.17,4.3,73.8,0.07,0.13,-0.06,0.77,1.76,0.35,0,1.34,Matches
659,Andrew Wooten\dacc061c,us USA,FW,Philadelphia,30,1989,5,19.4,25.2,77,320.4,49.2,10.4,12.2,85.2,5.6,7.4,75.7,2.4,3.6,66.7,0.4,0.28,0.12,1.4,1.4,0.8,0.6,1.6,Matches
660,Vito Wormgoor\31d7acd1,nl NED,DF,Columbus Crew,31,1988,1.2,60.8,64.2,94.8,1425.8,449.2,13.3,13.3,100,30.8,33.3,92.5,15,15.8,94.7,0,0,0,0,5,0,0,1.67,Matches
