Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
301,Ola Kamara\e134351a,no NOR,FW,D.C. United,30,1989,14.7,282,380,74.2,4601,518,148,177,83.6,104,147,70.7,21,33,63.6,0,0.6,-0.6,9,19,4,0,12,Matches
302,Johan Kappelhof\465015a5,nl NED,DF,Chicago Fire,29,1990,2.2,65,87,74.7,1408,379,20,22,90.9,34,37,91.9,10,25,40,0,0,0,0,4,0,0,2,Matches
303,Guram Kashia\a81f4896,ge GEO,DF,San Jose,32,1987,5.4,296,362,81.8,7443,2255,54,63,85.7,153,173,88.4,87,121,71.9,0,0,0,1,26,1,0,16,Matches
304,Aleksandar Katai\d5127c3f,rs SRB,MFFW,LA Galaxy,28,1991,1.3,30,46,65.2,554,139,15,18,83.3,11,17,64.7,4,11,36.4,0,0.1,-0.1,1,1,2,0,4,Matches
305,Mark-Anthony Kaye\36a38acd,ca CAN,MF,Los Angeles FC,25,1994,12.1,660,788,83.8,12007,3690,304,344,88.4,272,314,86.6,77,111,69.4,4,2.8,+1.2,26,74,16,0,93,Matches
306,Aboubacar Keita\85fbf1e4,us USA,DF,Columbus Crew,19,2000,10.5,486,541,89.8,11573,3378,92,98,93.9,278,294,94.6,114,143,79.7,0,0,0,0,30,1,0,25,Matches
307,Jeremy Kelly\7636fa88,us USA,DF,Colorado Rapids,22,1997,2.8,177,198,89.4,3491,989,60,66,90.9,94,100,94,22,28,78.6,1,0.9,+0.1,5,21,2,1,16,Matches
308,Henry Kessler\23c75879,us USA,DF,New England,21,1998,20.3,795,933,85.2,18612,5522,189,202,93.6,405,447,90.6,190,259,73.4,0,0,0,1,21,1,0,26,Matches
309,Jasser Khemiri\f3513a46,tn TUN,DF,Vancouver,22,1997,4.3,146,176,83,3503,1064,25,26,96.2,82,87,94.3,39,62,62.9,0,0,0,0,9,0,0,7,Matches
310,Jerome Kiesewetter\ee8fb451,us USA,FW,Inter Miami,26,1993,0.3,1,3,33.3,9,0,1,2,50,0,0,,0,1,0,0,0,0,0,0,0,0,0,Matches
311,Gadi Kinda\d4a2f24c,il ISR,MFFW,Sporting KC,25,1994,15.4,473,606,78.1,8300,2025,239,281,85.1,161,198,81.3,59,91,64.8,2,2.5,-0.5,22,55,18,1,56,Matches
312,Perry Kitchen\19ec49ee,us USA,MF,LA Galaxy,27,1992,19.1,607,705,86.1,10993,2725,281,311,90.4,245,277,88.4,73,100,73,0,0.2,-0.2,3,48,3,2,48,Matches
313,Mustafa Kizza\4db20877,ug UGA,DF,Montreal Impact,20,1999,0.2,9,11,81.8,149,72,6,6,100,2,3,66.7,1,2,50,0,0,0,0,1,1,0,1,Matches
314,Jonathan Klinsmann\1e29552f,us USA,GK,LA Galaxy,22,1997,4,55,99,55.6,2218,1635,10,10,100,15,15,100,30,74,40.5,0,0,0,0,3,0,0,0,Matches
315,Sacha Kljestan\73682895,us USA,MF,LA Galaxy,34,1985,8.6,393,477,82.4,6852,2281,197,227,86.8,145,169,85.8,46,66,69.7,0,1.2,-1.2,16,56,10,2,57,Matches
316,Brad Knighton\9903a3cb,us USA,GK,New England,34,1985,1,20,32,62.5,907,574,0,0,,4,4,100,16,28,57.1,0,0,0,0,1,0,0,0,Matches
317,Kai Koreniuk\c97bfb2e,nl NED,MFFW,LA Galaxy,21,1998,0.2,7,8,87.5,94,20,5,5,100,2,3,66.7,0,0,,0,0,0,0,2,0,0,0,Matches
318,Franko Kovačević\dbe0034f,hr CRO,FW,FC Cincinnati,20,1999,1,23,28,82.1,362,45,10,11,90.9,11,12,91.7,1,4,25,0,0.1,-0.1,3,0,1,0,1,Matches
319,Damir Kreilach\068be155,hr CRO,MFFW,Real Salt Lake,30,1989,19.6,684,830,82.4,13647,2668,255,314,81.2,311,356,87.4,112,137,81.8,1,1.5,-0.5,11,74,8,1,62,Matches
320,Bojan Krkić\9fa0a0b8,es ESP,FWMF,Montreal Impact,29,1990,12.8,389,481,80.9,7243,1639,188,213,88.3,136,160,85,55,80,68.8,2,2.5,-0.5,19,51,10,1,48,Matches
321,Kenneth Kronholm\e3b198bc,de GER,GK,Chicago Fire,34,1985,5,117,143,81.8,3408,2069,17,17,100,54,56,96.4,46,70,65.7,0,0,0,0,1,0,0,0,Matches
322,Yuya Kubo\cba16a46,jp JPN,MFFW,FC Cincinnati,26,1993,14.2,372,474,78.5,6908,1090,169,200,84.5,145,178,81.5,51,74,68.9,0,1.6,-1.6,13,26,7,3,27,Matches
323,Matt LaGrassa\c9b098db,us USA,MF,Nashville,27,1993,4.2,153,186,82.3,3000,891,55,63,87.3,77,85,90.6,20,31,64.5,0,0.1,-0.1,3,14,1,1,16,Matches
324,Foster Langsdorf\48319bb3,us USA,FW,Minnesota Utd,24,1995,0.1,6,7,85.7,102,16,3,4,75,2,2,100,1,1,100,0,0,0,1,1,0,0,0,Matches
325,Lassi Lappalainen\bcb2282d,fi FIN,FWDF,Montreal Impact,21,1998,7.6,184,241,76.3,3279,684,99,114,86.8,63,79,79.7,21,37,56.8,0,0.8,-0.8,8,11,8,3,20,Matches
326,Jeff Larentowicz\0c3f9d7f,us USA,MF,Atlanta Utd,36,1983,12.4,508,594,85.5,10779,2221,149,170,87.6,256,285,89.8,96,123,78,0,0.2,-0.2,4,49,2,1,23,Matches
327,Jesús David Murillo Largacha\68d48a71,co COL,DF,Los Angeles FC,25,1994,4.5,210,253,83,4166,1937,80,85,94.1,95,110,86.4,31,49,63.3,1,0.1,+0.9,3,29,4,0,19,Matches
328,Richie Laryea\276fdbe4,ca CAN,DF,Toronto FC,25,1995,15.5,574,684,83.9,9376,2857,291,326,89.3,230,273,84.2,39,55,70.9,3,1.6,+1.4,11,23,16,6,34,Matches
329,Ariel Lassiter\bd7b916c,cr CRC,FWMF,Houston Dynamo,25,1994,10.5,216,283,76.3,3366,493,122,147,83,70,93,75.3,14,25,56,1,0.9,+0.1,9,6,6,4,12,Matches
330,Randall Leal\874a5031,cr CRC,MFFW,Nashville,23,1997,17.8,518,677,76.5,9058,2575,272,324,84,173,218,79.4,67,100,67,4,2.7,+1.3,22,36,20,6,67,Matches
331,Kelvin Leerdam\d8b47705,sr SUR,DF,Seattle,29,1990,17.1,722,911,79.3,13488,5029,331,369,89.7,277,337,82.2,99,161,61.5,1,2.6,-1.6,14,39,27,8,75,Matches
332,Niccolo Lemoine\8ccbbaf8,us USA,MFFW,Houston Dynamo,19,2000,1.9,28,41,68.3,404,69,16,20,80,11,13,84.6,1,2,50,0,0.2,-0.2,2,1,1,1,1,Matches
333,Brooks Lennon\ec80ba72,us USA,DFFW,Atlanta Utd,22,1997,19.5,766,981,78.1,14108,3899,351,400,87.8,306,358,85.5,99,186,53.2,3,3.3,-0.3,23,38,28,24,46,Matches
334,Jonathan Lewis\2501eb59,us USA,FWMF,Colorado Rapids,22,1997,7.9,156,218,71.6,2578,625,82,99,82.8,62,87,71.3,10,23,43.5,0,0.5,-0.5,7,5,10,4,13,Matches
335,Danny Leyva\ecc3a9c9,us USA,MF,Seattle,16,2003,0.6,36,37,97.3,600,184,19,20,95,14,14,100,3,3,100,0,0,0,1,2,0,0,2,Matches
336,Nick Lima\959686eb,us USA,DF,San Jose,25,1994,17,755,961,78.6,15059,4185,299,336,89,330,392,84.2,120,209,57.4,2,1.9,+0.1,13,46,15,9,63,Matches
337,Jaylin Lindsey\83cb6e59,us USA,DF,Sporting KC,19,2000,11.8,543,659,82.4,9224,3534,259,294,88.1,234,273,85.7,41,70,58.6,2,0.6,+1.4,13,23,14,6,30,Matches
338,Sebastian Lletget\73019c31,us USA,MFFW,LA Galaxy,27,1992,18.7,634,790,80.3,9632,2430,379,426,89,192,231,83.1,40,88,45.5,3,1.5,+1.5,16,43,14,3,40,Matches
339,Jürgen Locadia\6cc47ae1,nl NED,FW,FC Cincinnati,26,1993,15.2,337,420,80.2,5580,963,179,215,83.3,123,147,83.7,27,38,71.1,0,0.9,-0.9,10,27,7,2,25,Matches
340,Robin Lod\33c69aa0,fi FIN,FWMF,Minnesota Utd,26,1993,17.6,456,574,79.4,6978,1973,270,318,84.9,146,170,85.9,31,56,55.4,3,3.1,-0.1,25,43,21,4,63,Matches
341,Nicolás Lodeiro\fe81d0d1,uy URU,MF,Seattle,30,1989,19.8,1207,1580,76.4,21524,7013,607,699,86.8,410,506,81,160,292,54.8,6,7.4,-1.4,50,148,61,13,162,Matches
342,David Loera\0fae98f1,us USA,MF,Orlando City,21,1998,0.2,2,2,100,36,0,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
343,Aaron Long\46b89640,us USA,DF,NY Red Bulls,27,1992,14.8,427,561,76.1,9151,3884,132,161,82,217,267,81.3,76,125,60.8,0,0.2,-0.2,3,37,2,0,44,Matches
344,Marcos López\9b3ab988,pe PER,DF,San Jose,20,1999,11,462,623,74.2,9161,3234,187,219,85.4,196,238,82.4,73,140,52.1,1,0.6,+0.4,11,30,10,5,44,Matches
345,Marvin Loría\71380d87,cr CRC,FWMF,Portland Timbers,22,1997,7.9,200,249,80.3,3812,762,99,109,90.8,70,85,82.4,26,45,57.8,0,0.5,-0.5,9,13,5,1,17,Matches
346,Daniel Lovitz\db97d838,us USA,DF,Nashville,28,1991,21,764,1095,69.8,16475,7651,264,300,88,352,460,76.5,143,312,45.8,2,2,0,26,78,17,9,85,Matches
347,Jorge Luis Corrales\bb67b6b0,cu CUB,DF,Montreal Impact,28,1991,11.9,523,675,77.5,8912,3877,260,294,88.4,216,271,79.7,40,77,51.9,1,1,0,13,38,5,2,55,Matches
348,Everton Luiz\3799e138,br BRA,MF,Real Salt Lake,31,1988,10.2,355,406,87.4,6446,1136,150,165,90.9,159,181,87.8,41,52,78.8,0,0,0,0,28,1,0,22,Matches
349,Adam Lundqvist\91769a24,se SWE,DF,Houston Dynamo,25,1994,20.2,849,1053,80.6,16044,5276,341,385,88.6,404,451,89.6,99,173,57.2,0,2.2,-2.2,21,50,36,26,74,Matches
350,Larrys Mabiala\5bdec47f,cd COD,DF,Portland Timbers,32,1987,14.6,597,688,86.8,14121,4788,132,144,91.7,319,349,91.4,144,188,76.6,0,0.1,-0.1,1,34,0,0,44,Matches
351,Emanuel Maciel\934fdf16,ar ARG,MF,Montreal Impact,22,1997,8.6,370,448,82.6,7913,1853,124,144,86.1,169,198,85.4,73,98,74.5,3,1.3,+1.7,7,53,4,1,36,Matches
352,Gary Mackay-Steven\da6ce369,sct SCO,FWMF,NYCFC,29,1990,10.6,233,313,74.4,3340,942,143,167,85.6,74,99,74.7,9,22,40.9,1,1.6,-0.6,11,8,14,4,29,Matches
353,Zac MacMath\06caac45,us USA,GK,Real Salt Lake,28,1991,6,155,245,63.3,4881,3341,21,22,95.5,71,72,98.6,63,150,42,0,0,0,0,1,0,0,0,Matches
354,Jack Maher\0c6f2fa6,us USA,DF,Nashville,20,1999,1.4,39,47,83,929,227,11,13,84.6,18,21,85.7,10,13,76.9,0,0,0,0,0,0,0,1,Matches
355,Christian Makoun\7efffe65,ve VEN,DF,Inter Miami,19,2000,2.1,40,56,71.4,981,451,9,12,75,21,21,100,10,23,43.5,0,0,0,0,5,0,0,2,Matches
356,Michael Mancienne\2db3ae0a,eng ENG,DF,New England,32,1988,3.5,123,142,86.6,3024,927,21,25,84,70,77,90.9,32,39,82.1,0,0,0,0,3,0,0,4,Matches
357,Kekuta Manneh\4d735ad6,us USA,FWMF,New England,25,1994,2,45,66,68.2,761,226,18,27,66.7,21,26,80.8,4,9,44.4,1,0.8,+0.2,6,2,7,1,10,Matches
358,Kekuta Manneh\4d735ad6,us USA,MF,FC Cincinnati,25,1994,0.7,11,16,68.8,230,82,4,5,80,5,7,71.4,1,2,50,0,0,0,0,1,0,0,2,Matches
359,Mauro Manotas\89a5efd3,co COL,FW,Houston Dynamo,24,1995,14.8,273,342,79.8,3950,532,143,172,83.1,88,109,80.7,17,22,77.3,1,2.4,-1.4,22,14,10,1,22,Matches
360,J.T. Marcinkowski\977791f4,us USA,GK,San Jose,22,1997,11,311,399,77.9,8928,3913,51,51,100,151,153,98.7,107,193,55.4,0,0.2,-0.2,1,4,1,0,0,Matches
361,Marko Marić\b57454c7,hr CRO,GK,Houston Dynamo,24,1996,23,497,683,72.8,13346,7324,114,114,100,227,231,98.3,153,335,45.7,0,0,0,0,3,0,0,0,Matches
362,Paul Marie\da0bb55a,fr FRA,DF,San Jose,24,1995,4,173,225,76.9,2869,1182,91,100,91,67,89,75.3,12,25,48,0,0.2,-0.2,2,12,2,1,18,Matches
363,Jahkeele Marshall-Rutty\b9459f85,ca CAN,FW,Toronto FC,15,2004,0.2,11,12,91.7,130,31,9,9,100,2,2,100,0,1,0,0,0,0,0,0,0,0,1,Matches
364,Douglas Martinez\3e7ebb9a,hn HON,FW,Real Salt Lake,22,1997,9.3,162,221,73.3,2245,367,97,115,84.3,53,71,74.6,5,18,27.8,0,0.7,-0.7,10,8,4,2,11,Matches
365,Josef Martínez\e73f0aa1,ve VEN,FW,Atlanta Utd,26,1993,0.8,16,19,84.2,259,3,9,9,100,5,5,100,1,2,50,0,0,0,0,1,0,0,0,Matches
366,Tomás Martínez\cc6cf17f,ar ARG,MFFW,Houston Dynamo,24,1995,3.9,186,225,82.7,3349,664,89,99,89.9,65,73,89,25,41,61,0,0.1,-0.1,2,27,2,0,19,Matches
367,Luís Martins\56b7c09b,pt POR,DF,Sporting KC,27,1992,8.6,451,583,77.4,8551,3272,169,204,82.8,226,263,85.9,54,101,53.5,1,0.9,+0.1,12,37,14,5,49,Matches
368,Rónald Matarrita\491862dd,cr CRC,DFFW,NYCFC,25,1994,18.3,894,1142,78.3,16052,6741,410,463,88.6,384,465,82.6,91,176,51.7,2,3.8,-1.8,34,60,27,8,99,Matches
369,Blaise Matuidi\c0cddebe,fr FRA,MF,Inter Miami,32,1987,14.1,671,752,89.2,12209,3736,295,318,92.8,289,310,93.2,75,98,76.5,0,0.8,-0.8,14,71,13,2,77,Matches
370,Jimmy Maurer\ca1c6f3d,us USA,GK,FC Dallas,31,1988,15.5,380,482,78.8,10365,5337,87,88,98.9,166,171,97.1,127,223,57,0,0,0,0,4,0,0,1,Matches
371,Chris Mavinga\fda36cfb,cd COD,DF,Toronto FC,28,1991,16.8,815,894,91.2,16991,5083,246,265,92.8,418,446,93.7,141,169,83.4,0,0,0,1,33,1,0,36,Matches
372,Olivier Mbaizo\f6315619,cm CMR,DF,Philadelphia,22,1997,11.7,535,705,75.9,10141,4176,227,269,84.4,229,300,76.3,68,113,60.2,1,1.1,-0.1,10,48,17,11,61,Matches
373,Thomas McCabe\ecbca580,us USA,MF,FC Cincinnati,21,1998,0.1,13,13,100,267,64,3,3,100,7,7,100,3,3,100,0,0,0,0,3,0,0,1,Matches
374,John McCarthy\249362e9,us USA,GK,Inter Miami,27,1992,8,112,169,66.3,3599,2400,17,17,100,41,42,97.6,51,107,47.7,0,0,0,0,0,0,0,0,Matches
375,Dax McCarty\b74e58c0,us USA,MF,Nashville,32,1987,18.6,912,1050,86.9,17824,5229,362,403,89.8,398,440,90.5,138,177,78,3,2.8,+0.2,28,107,15,1,99,Matches
376,Mark McKenzie\a5f5d094,us USA,DF,Philadelphia,20,1999,22,775,921,84.1,19509,6304,132,165,80,404,439,92,232,303,76.6,1,0.2,+0.8,3,49,1,0,43,Matches
377,Jimmy McLaughlin\b634e2bc,us USA,DF,FC Cincinnati,26,1993,0,0,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
378,Thomas McNamara\ab36595d,us USA,MF,New England,28,1991,9.5,430,520,82.7,9469,2162,156,176,88.6,169,193,87.6,99,130,76.2,1,1.3,-0.3,8,44,6,1,39,Matches
379,Thomas McNamara\ab36595d,us USA,FWMF,Houston Dynamo,28,1991,2,53,67,79.1,860,268,28,30,93.3,20,25,80,3,7,42.9,0,0.2,-0.2,3,5,2,0,8,Matches
380,Ryan Meara\18f0723b,us USA,GK,NY Red Bulls,29,1990,12.7,193,319,60.5,5894,4043,50,51,98,71,73,97.3,72,195,36.9,0,0,0,0,4,0,0,0,Matches
381,Jesús Medina\7c4628c4,py PAR,MFFW,NYCFC,22,1997,16.5,504,664,75.9,9674,2722,227,266,85.3,179,226,79.2,87,137,63.5,2,3,-1,32,51,23,2,61,Matches
382,Álvaro Medrán\31223bcf,es ESP,MF,Chicago Fire,25,1994,22.1,1076,1388,77.5,22143,7685,430,480,89.6,429,514,83.5,201,346,58.1,3,3.6,-0.6,36,130,19,2,144,Matches
383,Jimmy Medranda\6f7ac622,co COL,FW,Nashville,25,1994,0.1,4,6,66.7,79,29,2,2,100,1,2,50,1,2,50,0,0,0,1,0,1,1,1,Matches
384,Jimmy Medranda\6f7ac622,co COL,DFMF,Seattle,25,1994,0.2,12,14,85.7,214,69,5,5,100,5,6,83.3,2,3,66.7,0,0,0,0,0,0,0,1,Matches
385,Haris Medunjanin\de5d5d41,ba BIH,MF,FC Cincinnati,34,1985,19.2,1243,1503,82.7,27502,9284,386,420,91.9,595,650,91.5,252,414,60.9,1,3.6,-2.6,42,79,15,3,75,Matches
386,Phelipe Megiolaro\73aaa27d,br BRA,GK,FC Dallas,20,1999,1,15,21,71.4,340,219,6,6,100,4,4,100,5,11,45.5,0,0,0,0,0,0,0,0,Matches
387,Tim Melia\cc741f50,us USA,GK,Sporting KC,33,1986,19.8,416,588,70.7,12863,7772,57,57,100,198,200,99,159,329,48.3,0,0.1,-0.1,2,10,1,0,0,Matches
388,Jhegson Méndez\db0c5324,ec ECU,MF,Orlando City,22,1997,12.1,683,766,89.2,11648,3113,355,379,93.7,249,273,91.2,68,88,77.3,0,0.2,-0.2,3,60,7,1,61,Matches
389,Jonathan Mensah\8087e6cb,gh GHA,DF,Columbus Crew,29,1990,23,1298,1456,89.1,30835,9795,283,315,89.8,681,723,94.2,331,405,81.7,0,0,0,0,74,1,0,55,Matches
390,Justin Meram\ae34c71d,iq IRQ,FWMF,Real Salt Lake,31,1988,12.7,369,504,73.2,5909,1546,204,246,82.9,128,172,74.4,27,55,49.1,3,2.3,+0.7,15,30,10,1,42,Matches
391,Bryan Meredith\e224e90f,us USA,GK,Vancouver,30,1989,3,69,87,79.3,2170,1192,9,9,100,33,34,97.1,27,44,61.4,0,0,0,0,1,0,0,0,Matches
392,Romain Métanire\0fb21da9,mg MAD,DF,Minnesota Utd,29,1990,19.8,896,1200,74.7,16223,7767,410,463,88.6,368,467,78.8,106,229,46.3,3,2,+1.0,19,73,32,17,109,Matches
393,Patrick Metcalfe\427e3820,ca CAN,MF,Vancouver,21,1998,2.3,66,77,85.7,1272,212,33,36,91.7,25,26,96.2,6,11,54.5,0,0.1,-0.1,1,6,0,0,3,Matches
394,Fernando Meza\2c24fe94,ar ARG,DF,Atlanta Utd,29,1990,11.9,753,834,90.3,17075,4971,194,215,90.2,388,413,93.9,165,198,83.3,0,0,0,1,49,1,0,46,Matches
395,Nicolás Mezquida\00b629e1,uy URU,MFFW,Colorado Rapids,28,1992,5.3,191,251,76.1,3669,578,77,91,84.6,87,104,83.7,24,44,54.5,1,0.8,+0.2,8,16,3,1,17,Matches
396,Benji Michel\151ca25f,us USA,FWMF,Orlando City,22,1997,9.4,162,205,79,2639,517,82,96,85.4,63,78,80.8,14,22,63.6,2,2.7,-0.7,11,12,3,0,16,Matches
397,Djordje Mihailovic\83cf9719,us USA,MFFW,Chicago Fire,21,1998,13,415,560,74.1,7629,2250,192,230,83.5,162,199,81.4,54,108,50,7,3.2,+3.8,25,40,29,8,62,Matches
398,Manuel Milinković\24bc0090,rs SRB,MFFW,Vancouver,25,1994,10,206,259,79.5,3518,836,99,121,81.8,83,98,84.7,20,33,60.6,4,2,+2.0,11,12,9,3,18,Matches
399,Eric Miller\c0593f5d,us USA,DF,Nashville,27,1993,4.8,159,209,76.1,2792,1124,72,83,86.7,73,89,82,13,31,41.9,0,0,0,0,15,4,3,21,Matches
400,Kamal Miller\0646bd8a,ca CAN,DF,Orlando City,22,1997,9,489,604,81,10038,4373,142,162,87.7,275,313,87.9,70,118,59.3,0,0,0,1,42,3,0,35,Matches
401,Tyler Miller\7827a6b3,us USA,GK,Minnesota Utd,26,1993,5,94,145,64.8,3682,2679,12,13,92.3,30,31,96.8,52,101,51.5,0,0,0,0,5,0,0,0,Matches
402,Ben Mines\a3c6fd0e,us USA,MFFW,NY Red Bulls,19,2000,1.9,40,65,61.5,627,219,21,29,72.4,14,22,63.6,3,8,37.5,1,0.6,+0.4,4,1,6,4,6,Matches
403,Alexandru Mitriță\49db4b16,ro ROU,MFFW,NYCFC,24,1995,7.8,227,283,80.2,4061,1211,116,137,84.7,69,78,88.5,34,51,66.7,2,1.5,+0.5,16,18,13,0,34,Matches
404,Youness Mokhtar\dac48f63,ma MAR,FWMF,Columbus Crew,28,1991,8.9,251,340,73.8,4518,1188,116,130,89.2,101,130,77.7,31,61,50.8,1,1.5,-0.5,8,17,12,2,32,Matches
405,Kamohelo Mokotjo\7832f692,za RSA,MF,FC Cincinnati,28,1991,6.1,417,465,89.7,8138,1552,147,157,93.6,204,222,91.9,60,77,77.9,0,0.1,-0.1,4,40,3,1,27,Matches
406,Kevin Molino\371645ca,tt TRI,FWMF,Minnesota Utd,29,1990,14,512,661,77.5,7627,1850,308,360,85.6,131,172,76.2,44,69,63.8,2,1.5,+0.5,16,23,16,4,40,Matches
407,Mohamed El Monir\2aa8fc33,ly LBY,DF,Los Angeles FC,27,1992,6.7,388,501,77.4,6878,3044,165,201,82.1,193,224,86.2,28,65,43.1,1,2,-1,9,39,10,2,51,Matches
408,Jamiro Monteiro\d384bddd,cv CPV,MF,Philadelphia,26,1993,21.5,908,1141,79.6,18270,5425,344,382,90.1,386,448,86.2,161,262,61.5,3,3,0,44,86,31,4,103,Matches
409,Fredy Montero\bc5b5be5,co COL,FW,Vancouver,32,1987,11.8,358,525,68.2,7586,2559,142,165,86.1,132,188,70.2,78,142,54.9,2,2,0,16,67,24,4,77,Matches
410,Drew Moor\220cf869,us USA,DF,Colorado Rapids,36,1984,5.4,292,315,92.7,6197,2187,83,90,92.2,167,175,95.4,42,48,87.5,0,0,0,2,15,0,0,24,Matches
411,Felipe Mora\f4b0ea46,cl CHI,FW,Portland Timbers,26,1993,13.4,239,324,73.8,3643,592,132,167,79,82,104,78.8,15,21,71.4,2,1.6,+0.4,14,17,10,1,17,Matches
412,Joseph Mora\2af71023,cr CRC,DF,D.C. United,27,1993,17.6,658,852,77.2,11934,4709,270,302,89.4,325,395,82.3,56,124,45.2,0,0.6,-0.6,6,34,12,7,40,Matches
413,Maximiliano Moralez\f99f37fc,ar ARG,MFFW,NYCFC,32,1987,9.7,491,657,74.7,9852,2907,227,263,86.3,161,203,79.3,95,156,60.9,4,2.3,+1.7,28,65,23,3,65,Matches
414,Jorge Moreira\452256d3,py PAR,DF,Portland Timbers,29,1990,1,51,62,82.3,1085,449,16,17,94.1,24,30,80,11,14,78.6,0,0,0,0,3,1,1,5,Matches
415,Junior Moreno\5dcb4ac4,ve VEN,MF,D.C. United,26,1993,19.1,962,1101,87.4,18230,5567,416,460,90.4,385,430,89.5,145,185,78.4,1,0.6,+0.4,14,78,10,2,63,Matches
416,Marcelino Moreno\058c938c,ar ARG,MFFW,Atlanta Utd,25,1994,5.1,229,277,82.7,4149,1102,113,122,92.6,84,96,87.5,26,46,56.5,1,0.6,+0.4,8,28,6,1,27,Matches
417,Lewis Morgan\b675e328,sct SCO,FWMF,Inter Miami,23,1996,21.6,522,894,58.4,10640,4058,199,246,80.9,208,314,66.2,102,280,36.4,5,7.1,-2.1,63,37,37,22,66,Matches
418,Aidan Morris\3778339c,us USA,MF,Columbus Crew,18,2001,4.1,170,198,85.9,3692,820,57,65,87.7,76,84,90.5,36,45,80,0,0.1,-0.1,2,14,0,0,17,Matches
419,Jordan Morris\bd298d0d,us USA,FW,Seattle,25,1994,19.1,517,681,75.9,7883,1920,317,380,83.4,147,192,76.6,40,61,65.6,7,5.8,+1.2,28,40,20,2,56,Matches
420,Justin Morrow\0bee5512,us USA,DF,Toronto FC,32,1987,10.7,475,586,81.1,8315,2770,200,220,90.9,228,270,84.4,38,78,48.7,0,0.5,-0.5,11,31,10,5,40,Matches
421,João Moutinho\a0aee24e,pt POR,DF,Orlando City,22,1998,7.6,368,473,77.8,7258,3383,144,160,90,160,195,82.1,55,104,52.9,2,0.8,+1.2,9,25,7,5,31,Matches
422,Chris Mueller\a5334099,us USA,FWMF,Orlando City,23,1996,16.3,468,582,80.4,7678,2173,246,284,86.6,173,204,84.8,37,69,53.6,6,3.4,+2.6,30,28,23,4,56,Matches
423,Hany Mukhtar\87fe8526,de GER,MFFW,Nashville,24,1995,12.1,382,484,78.9,6252,1536,205,228,89.9,126,147,85.7,39,83,47,3,1.7,+1.3,27,31,11,3,40,Matches
424,Patrick Mullins\a03a84d3,us USA,FW,Toronto FC,27,1992,4.6,85,124,68.5,1534,291,40,57,70.2,31,43,72.1,10,16,62.5,1,0.5,+0.5,5,5,6,1,9,Matches
425,Jake Mulraney\0f04858e,ie IRL,FWDF,Atlanta Utd,23,1996,7.9,243,328,74.1,4292,973,129,145,89,85,114,74.6,28,56,50,1,0.4,+0.6,7,10,8,5,13,Matches
426,James Musa\e176052e,nz NZL,DFMF,Minnesota Utd,27,1992,1.8,89,104,85.6,1984,784,26,32,81.3,41,45,91.1,20,25,80,0,0.1,-0.1,2,15,0,0,4,Matches
427,Daniel Musovski\925a2703,us USA,FW,Los Angeles FC,24,1995,7.1,102,147,69.4,1424,237,63,85,74.1,34,46,73.9,2,6,33.3,1,0.5,+0.5,5,5,3,0,7,Matches
428,Alex Muyl\2c1025bf,us USA,FWMF,Nashville,24,1995,12.1,240,318,75.5,4029,1163,137,162,84.6,74,97,76.3,24,39,61.5,2,1.1,+0.9,10,24,4,2,24,Matches
429,Alex Muyl\2c1025bf,us USA,MF,NY Red Bulls,24,1995,0.6,17,24,70.8,239,83,11,12,91.7,5,8,62.5,1,4,25,0,0.3,-0.3,1,0,1,1,0,Matches
430,Darlington Nagbe\6219c704,us USA,MF,Columbus Crew,29,1990,13.3,710,754,94.2,14746,2230,243,259,93.8,328,343,95.6,131,141,92.9,0,0.3,-0.3,10,76,5,0,41,Matches
431,Andy Najar\f8280175,hn HON,DF,Los Angeles FC,26,1993,2.1,119,145,82.1,2079,926,55,60,91.7,52,65,80,10,17,58.8,1,0.2,+0.8,3,15,4,1,18,Matches
432,Younes Namli\1a672e2d,dk DEN,MFFW,Colorado Rapids,25,1994,14,499,605,82.5,10052,2469,204,234,87.2,204,225,90.7,83,117,70.9,3,2.9,+0.1,23,62,23,5,68,Matches
433,Nani\15e9c7e6,pt POR,FWMF,Orlando City,33,1986,15.8,593,824,72,11216,3643,255,314,81.2,241,314,76.8,88,162,54.3,4,4.5,-0.5,33,45,31,10,82,Matches
434,Miguel Navarro\3fbff39a,ve VEN,DF,Chicago Fire,20,1999,10.8,383,525,73,7241,2490,138,159,86.8,199,260,76.5,38,84,45.2,1,1.7,-0.7,13,22,11,7,26,Matches
435,Dylan Nealis\24f4dd87,us USA,DF,Inter Miami,21,1998,12.3,453,580,78.1,7916,2582,208,235,88.5,184,225,81.8,51,97,52.6,0,0.7,-0.7,11,23,15,2,45,Matches
436,Sean Nealis\8c1b17b3,us USA,DF,NY Red Bulls,23,1997,5,169,208,81.3,3121,1336,71,76,93.4,78,95,82.1,16,30,53.3,0,0.1,-0.1,1,19,1,0,17,Matches
