Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
221,Braian Galván\bbfbd4d3,ar ARG,FW,Colorado Rapids,19,2000,2.8,103,125,82.4,1860,341,42,50,84,49,55,89.1,10,14,71.4,1,0.4,+0.6,8,5,3,1,6,Matches
222,Boniek García\889ce425,hn HON,MF,Houston Dynamo,35,1984,9.2,333,404,82.4,5812,1633,157,179,87.7,131,155,84.5,35,49,71.4,0,0.7,-0.7,9,37,6,1,39,Matches
223,Christopher Garcia\f6390a6b,us USA,FW,Real Salt Lake,17,2003,0,2,3,66.7,22,8,2,2,100,0,0,,0,1,0,0,0,0,0,0,0,0,0,Matches
224,Greg Garza\5ae88d65,us USA,DF,FC Cincinnati,28,1991,5.7,232,280,82.9,4119,1077,100,110,90.9,107,119,89.9,23,47,48.9,0,0.7,-0.7,6,10,7,3,14,Matches
225,Chase Gasper\7371ec36,us USA,DF,Minnesota Utd,24,1996,16.6,682,852,80,12350,5651,298,319,93.4,312,379,82.3,66,130,50.8,1,0.8,+0.2,11,52,11,5,75,Matches
226,Carles Gil\11c30a46,es ESP,MFFW,New England,27,1992,4.1,226,285,79.3,4385,1561,89,104,85.6,99,112,88.4,34,56,60.7,1,1.3,-0.3,23,19,16,3,36,Matches
227,Gastón Giménez\ab66cc31,py PAR,MF,Chicago Fire,28,1991,17.3,810,949,85.4,16674,3965,311,332,93.7,348,382,91.1,142,213,66.7,3,2,+1.0,20,78,15,0,84,Matches
228,Francisco Ginella\5a28a782,uy URU,MF,Los Angeles FC,21,1999,12.9,628,752,83.5,11010,3325,280,316,88.6,277,322,86,63,86,73.3,3,1.6,+1.4,14,83,11,0,79,Matches
229,Justen Glad\5b768b0f,us USA,DF,Real Salt Lake,22,1997,14.2,680,827,82.2,15557,5462,213,231,92.2,317,369,85.9,146,215,67.9,0,0,0,1,42,5,1,33,Matches
230,Jakob Glesnes\ac65aef3,no NOR,DF,Philadelphia,25,1994,16.6,605,713,84.9,16746,5309,99,117,84.6,290,315,92.1,213,272,78.3,0,0.2,-0.2,4,48,2,0,43,Matches
231,Aníbal Godoy\2d496ca3,pa PAN,MF,Nashville,29,1990,16.6,900,979,91.9,19269,4862,319,340,93.8,388,411,94.4,185,212,87.3,0,0.6,-0.6,10,105,8,1,85,Matches
