Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player,Event,Player,Event
14,Daryl Dike\d4cfc93c,Orlando City,Goal,5,Head,,Mauricio Pereyra,Pass (Dead),Benji Michel,Fouled
20,Hany Mukhtar\87fe8526,Nashville,Blocked,26,Right Foot,Free kick,C.J. Sapong,Fouled,Walker Zimmerman,Pass (Live)
21,Hany Mukhtar\87fe8526,Nashville,Goal,26,Right Foot,Deflected,Aníbal Godoy,Tackle,,
24,Randall Leal\874a5031,Nashville,Saved,22,Left Foot,,C.J. Sapong,Pass (Live),Aníbal Godoy,Pass (Live)
41,Hany Mukhtar\87fe8526,Nashville,Saved,20,Right Foot,,Hany Mukhtar,Dribble,Daniel Lovitz,Pass (Live)
46,Aníbal Godoy\2d496ca3,Nashville,Off Target,30,Left Foot,Volley,C.J. Sapong,Pass (Live),Hany Mukhtar,Pass (Live)
